date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:45:20	39364/39364	---M--	200	added ('OK')	application/octet-stream	etag:%2262729012-99c4%22	https://www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-regular.ttf	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-regular.ttf	(from https://www.theiptv.store/)
21:45:20	56266/56266	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262729012-dbca%22	https://www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-regular.svg	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-regular.svg	(from https://www.theiptv.store/)
21:45:20	20278/20278	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2262729012-4f36%22	https://www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-italic.eot	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-italic.eot	(from https://www.theiptv.store/)
21:45:21	20278/20278	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2262729012-4f36%22	https://www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-italic.eot?	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-italicd41d.eot	(from https://www.theiptv.store/)
21:45:21	18604/18604	---M--	200	added ('OK')	font/woff2	etag:%2262729012-48ac%22	https://www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-italic.woff2	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-italic.woff2	(from https://www.theiptv.store/)
21:45:21	23440/23440	---M--	200	added ('OK')	font/woff	etag:%2262729012-5b90%22	https://www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-italic.woff	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-italic.woff	(from https://www.theiptv.store/)
21:45:21	37524/37524	---M--	200	added ('OK')	application/octet-stream	etag:%2262729012-9294%22	https://www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-italic.ttf	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-italic.ttf	(from https://www.theiptv.store/)
21:45:22	59362/59362	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262729012-e7e2%22	https://www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-italic.svg	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-italic.svg	(from https://www.theiptv.store/)
21:45:22	21716/21716	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2262729012-54d4%22	https://www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-700.eot	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-700.eot	(from https://www.theiptv.store/)
21:45:22	21716/21716	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2262729012-54d4%22	https://www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-700.eot?	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-700d41d.eot	(from https://www.theiptv.store/)
21:45:22	20108/20108	---M--	200	added ('OK')	font/woff2	etag:%2262729012-4e8c%22	https://www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-700.woff2	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-700.woff2	(from https://www.theiptv.store/)
21:45:22	25196/25196	---M--	200	added ('OK')	font/woff	etag:%2262729012-626c%22	https://www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-700.woff	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-700.woff	(from https://www.theiptv.store/)
21:45:23	41412/41412	---M--	200	added ('OK')	application/octet-stream	etag:%2262729012-a1c4%22	https://www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-700.ttf	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-700.ttf	(from https://www.theiptv.store/)
21:45:23	55652/55652	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262729012-d964%22	https://www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-700.svg	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-700.svg	(from https://www.theiptv.store/)
21:45:23	20063/20063	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2262729012-4e5f%22	https://www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-700italic.eot	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/OpenSans-latin_latin-ext-700italic.eot	(from https://www.theiptv.store/)
